	value	expression
0	64	('-', ('*', 6, ('+', 10, 1)), 2)
1	64	('-', ('*', 6, ('+', 1, 10)), 2)
2	64	('-', ('*', ('+', 10, 1), 6), 2)
3	64	('-', ('*', ('+', 1, 10), 6), 2)
4	63	('+', 2, ('+', 1, ('*', 6, 10)))
5	63	('+', 2, ('+', 1, ('*', 10, 6)))
6	63	('+', 2, ('+', ('*', 6, 10), 1))
7	63	('+', 2, ('+', ('*', 10, 6), 1))
8	63	('+', 1, ('+', 2, ('*', 6, 10)))
9	63	('+', 1, ('+', 2, ('*', 10, 6)))
10	63	('+', 1, ('+', ('*', 6, 10), 2))
11	63	('+', 1, ('+', ('*', 10, 6), 2))
12	63	('+', ('+', 2, 1), ('*', 6, 10))
13	63	('+', ('+', 2, 1), ('*', 10, 6))
14	63	('+', ('+', 2, ('*', 6, 10)), 1)
15	63	('+', ('+', 2, ('*', 10, 6)), 1)
16	63	('+', ('+', 1, 2), ('*', 6, 10))
17	63	('+', ('+', 1, 2), ('*', 10, 6))
18	63	('+', ('+', 1, ('*', 6, 10)), 2)
19	63	('+', ('+', 1, ('*', 10, 6)), 2)
20	63	('+', ('+', ('*', 6, 10), 2), 1)
21	63	('+', ('+', ('*', 6, 10), 1), 2)
22	63	('+', ('+', ('*', 10, 6), 2), 1)
23	63	('+', ('+', ('*', 10, 6), 1), 2)
24	63	('+', ('*', 6, 10), ('+', 2, 1))
25	63	('+', ('*', 6, 10), ('+', 1, 2))
26	63	('+', ('*', 10, 6), ('+', 2, 1))
27	63	('+', ('*', 10, 6), ('+', 1, 2))
28	63	('*', 6, ('+', 10, ('/', 1, 2)))
29	63	('*', 6, ('+', ('/', 1, 2), 10))
30	63	('*', ('+', 10, ('/', 1, 2)), 6)
31	63	('*', ('+', ('/', 1, 2), 10), 6)
32	62	('/', ('+', 2, ('*', 6, 10)), 1)
33	62	('/', ('+', 2, ('*', 10, 6)), 1)
34	62	('/', ('+', ('*', 6, 10), 2), 1)
35	62	('/', ('+', ('*', 10, 6), 2), 1)
36	62	('+', 2, ('/', 6, ('/', 1, 10)))
37	62	('+', 2, ('/', 10, ('/', 1, 6)))
38	62	('+', 2, ('/', ('*', 6, 10), 1))
39	62	('+', 2, ('/', ('*', 10, 6), 1))
40	62	('+', 2, ('*', 6, ('/', 10, 1)))
41	62	('+', 2, ('*', 6, ('*', 10, 1)))
42	62	('+', 2, ('*', 6, ('*', 1, 10)))
43	62	('+', 2, ('*', 10, ('/', 6, 1)))
44	62	('+', 2, ('*', 10, ('*', 6, 1)))
45	62	('+', 2, ('*', 10, ('*', 1, 6)))
46	62	('+', 2, ('*', 1, ('*', 6, 10)))
47	62	('+', 2, ('*', 1, ('*', 10, 6)))
48	62	('+', 2, ('*', ('/', 6, 1), 10))
49	62	('+', 2, ('*', ('/', 10, 1), 6))
50	62	('+', 2, ('*', ('*', 6, 10), 1))
51	62	('+', 2, ('*', ('*', 6, 1), 10))
52	62	('+', 2, ('*', ('*', 10, 6), 1))
53	62	('+', 2, ('*', ('*', 10, 1), 6))
54	62	('+', 2, ('*', ('*', 1, 6), 10))
55	62	('+', 2, ('*', ('*', 1, 10), 6))
56	62	('+', ('/', 6, ('/', 1, 10)), 2)
57	62	('+', ('/', 2, 1), ('*', 6, 10))
58	62	('+', ('/', 2, 1), ('*', 10, 6))
59	62	('+', ('/', 10, ('/', 1, 6)), 2)
60	62	('+', ('/', ('*', 6, 10), 1), 2)
61	62	('+', ('/', ('*', 10, 6), 1), 2)
62	62	('+', ('*', 6, 10), ('/', 2, 1))
63	62	('+', ('*', 6, 10), ('*', 2, 1))
64	62	('+', ('*', 6, 10), ('*', 1, 2))
65	62	('+', ('*', 6, ('/', 10, 1)), 2)
66	62	('+', ('*', 6, ('*', 10, 1)), 2)
67	62	('+', ('*', 6, ('*', 1, 10)), 2)
68	62	('+', ('*', 2, 1), ('*', 6, 10))
69	62	('+', ('*', 2, 1), ('*', 10, 6))
70	62	('+', ('*', 10, 6), ('/', 2, 1))
71	62	('+', ('*', 10, 6), ('*', 2, 1))
72	62	('+', ('*', 10, 6), ('*', 1, 2))
73	62	('+', ('*', 10, ('/', 6, 1)), 2)
74	62	('+', ('*', 10, ('*', 6, 1)), 2)
75	62	('+', ('*', 10, ('*', 1, 6)), 2)
76	62	('+', ('*', 1, 2), ('*', 6, 10))
77	62	('+', ('*', 1, 2), ('*', 10, 6))
78	62	('+', ('*', 1, ('*', 6, 10)), 2)
79	62	('+', ('*', 1, ('*', 10, 6)), 2)
80	62	('+', ('*', ('/', 6, 1), 10), 2)
81	62	('+', ('*', ('/', 10, 1), 6), 2)
82	62	('+', ('*', ('*', 6, 10), 1), 2)
